Development_Status_Origin,Use,Region_Destination,Development_Status_Destination,Value
Advanced,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00002
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.27081
LDC,Mitigation,Sub-Saharan Africa,EMDE,0.00347
EMDE,Mitigation,South Asia,LDC,0.0206
LDC,Mitigation,Sub-Saharan Africa,LDC,0
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00005
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.00009
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.00095
EMDE,Mitigation,Middle East & North Africa,EMDE,0.00009
Advanced,Mitigation,South Asia,LDC,0.00564
LDC,Mitigation,Central Asia & Eastern Europe,EMDE,0.00157
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.67193
EMDE,Mitigation,East Asia & Pacific,EMDE,0.7291
EMDE,Mitigation,East Asia & Pacific,EMDE,0.11367
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00021
Transregional,Mitigation,Sub-Saharan Africa,LDC,0.00022
EMDE,Dual benefit,Sub-Saharan Africa,EMDE,0
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00681
Advanced,Dual benefit,South Asia,EMDE,0.00009
Advanced,Mitigation,Sub-Saharan Africa,Advanced,0
Advanced,Dual benefit,South Asia,LDC,0.00013
EMDE,Mitigation,Sub-Saharan Africa,LDC,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,Sub-Saharan Africa,Advanced,0
LDC,Dual benefit,East Asia & Pacific,LDC,0.00015
Advanced,Dual benefit,East Asia & Pacific,LDC,0.00012
Transregional,Dual benefit,Sub-Saharan Africa,LDC,0.0001
Advanced,Mitigation,East Asia & Pacific,LDC,0.00006
LDC,Mitigation,Sub-Saharan Africa,LDC,0.00424
Advanced,Mitigation,Middle East & North Africa,LDC,0.00345
EMDE,Mitigation,Central Asia & Eastern Europe,Advanced,0.00067
EMDE,Mitigation,East Asia & Pacific,EMDE,0.33832
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00001
Advanced,Mitigation,East Asia & Pacific,China,0.07195
EMDE,Mitigation,Western Europe,Advanced,0.00284
Unknown,Adaptation,Sub-Saharan Africa,EMDE,0
EMDE,Adaptation,South Asia,EMDE,0.00002
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.08117
EMDE,Adaptation,East Asia & Pacific,EMDE,0.06112
Advanced,Adaptation,Middle East & North Africa,EMDE,0.007
EMDE,Adaptation,East Asia & Pacific,EMDE,0.0057
China,Adaptation,Central Asia & Eastern Europe,EMDE,0.00927
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.01006
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00008
Transregional,Adaptation,Latin America & Caribbean,LDC,0.00004
LDC,Adaptation,Central Asia & Eastern Europe,EMDE,0.00023
Advanced,Adaptation,South Asia,LDC,0.00084
Transregional,Dual benefit,Sub-Saharan Africa,EMDE,0
China,Mitigation,Sub-Saharan Africa,EMDE,0
Transregional,Mitigation,South Asia,LDC,0
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00004
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Dual benefit,East Asia & Pacific,Advanced,0
Advanced,Mitigation,Transregional,LDC,0.00005
EMDE,Adaptation,Transregional,EMDE,0.01218
Advanced,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00001
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00189
LDC,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.01084
Advanced,Mitigation,South Asia,EMDE,0.00198
EMDE,Mitigation,Middle East & North Africa,LDC,0.00006
China,Mitigation,Middle East & North Africa,EMDE,0.00001
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.01371
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00212
EMDE,Mitigation,Middle East & North Africa,Advanced,0.00046
China,Mitigation,East Asia & Pacific,China,9.77391
Advanced,Mitigation,US & Canada,Advanced,0.00156
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00397
Advanced,Mitigation,East Asia & Pacific,China,0.01573
China,Mitigation,Latin America & Caribbean,EMDE,0.00003
China,Mitigation,East Asia & Pacific,China,3.71111
EMDE,Dual benefit,East Asia & Pacific,EMDE,0.00019
LDC,Mitigation,South Asia,EMDE,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Dual benefit,South Asia,EMDE,0.00004
China,Dual benefit,East Asia & Pacific,LDC,0.00053
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00121
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.00013
Advanced,Mitigation,Western Europe,Advanced,1.84253
Advanced,Adaptation,Latin America & Caribbean,Advanced,0
Advanced,Adaptation,South Asia,LDC,0
LDC,Adaptation,East Asia & Pacific,EMDE,0.00203
EMDE,Adaptation,Latin America & Caribbean,EMDE,0
Advanced,Adaptation,East Asia & Pacific,EMDE,0.01159
Advanced,Adaptation,Latin America & Caribbean,LDC,0.01681
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.14977
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.0295
China,Adaptation,Latin America & Caribbean,EMDE,0.00004
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.01377
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00089
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00131
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00006
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0
Unknown,Adaptation,East Asia & Pacific,EMDE,0
Advanced,Adaptation,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00358
EMDE,Dual benefit,Middle East & North Africa,LDC,0.00005
LDC,Mitigation,Sub-Saharan Africa,EMDE,0
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00007
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.0175
Advanced,Mitigation,East Asia & Pacific,China,0
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00007
EMDE,Dual benefit,Transregional,LDC,0.00001
Advanced,Mitigation,Transregional,EMDE,0.01181
EMDE,Mitigation,Transregional,Advanced,0
EMDE,Mitigation,Transregional,LDC,0.00915
Advanced,Mitigation,Transregional,EMDE,0.00136
China,Mitigation,Transregional,EMDE,0.00708
Advanced,Mitigation,Transregional,Advanced,0
China,Adaptation,Transregional,EMDE,0.0017
China,Adaptation,Transregional,Advanced,0
Advanced,Adaptation,Transregional,Advanced,0
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00025
Advanced,Mitigation,South Asia,EMDE,0.00006
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.0522
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.98814
EMDE,Dual benefit,East Asia & Pacific,EMDE,0.00018
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.00031
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00004
LDC,Mitigation,East Asia & Pacific,LDC,0.00001
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.00105
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00141
Transregional,Mitigation,Central Asia & Eastern Europe,EMDE,0.00001
Advanced,Dual benefit,South Asia,LDC,0.00003
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.00069
Unknown,Mitigation,Middle East & North Africa,EMDE,0.00049
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00011
China,Mitigation,East Asia & Pacific,China,0.02337
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.26008
Advanced,Mitigation,US & Canada,Advanced,0.05595
Advanced,Dual benefit,Western Europe,Advanced,0.09496
China,Dual benefit,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00003
EMDE,Mitigation,Middle East & North Africa,EMDE,0.00299
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.00049
Unknown,Dual benefit,Sub-Saharan Africa,EMDE,0
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.00051
China,Mitigation,South Asia,EMDE,0.00071
China,Mitigation,Sub-Saharan Africa,LDC,0.00156
EMDE,Dual benefit,Sub-Saharan Africa,LDC,0.00034
Advanced,Dual benefit,South Asia,EMDE,0.00244
Advanced,Mitigation,Other Oceania,Advanced,0.00019
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.01403
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00798
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00004
Advanced,Mitigation,Other Oceania,Advanced,0.00045
Advanced,Mitigation,Western Europe,Advanced,27.03442
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00016
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.00041
Advanced,Mitigation,Latin America & Caribbean,LDC,0
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.00317
LDC,Adaptation,Central Asia & Eastern Europe,EMDE,0.00001
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00197
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00202
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00017
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0.00204
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00784
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.0256
China,Adaptation,Latin America & Caribbean,LDC,0.00005
Advanced,Adaptation,East Asia & Pacific,EMDE,0.00149
Advanced,Adaptation,South Asia,EMDE,0.00257
Advanced,Adaptation,East Asia & Pacific,LDC,0.00076
Transregional,Adaptation,Middle East & North Africa,EMDE,0.00007
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.26704
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00001
EMDE,Dual benefit,Sub-Saharan Africa,LDC,0.00003
Advanced,Dual benefit,Middle East & North Africa,EMDE,0.00015
China,Adaptation,Sub-Saharan Africa,EMDE,0
Advanced,Adaptation,Central Asia & Eastern Europe,Advanced,0.00015
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00048
EMDE,Dual benefit,Latin America & Caribbean,LDC,0.00001
Advanced,Mitigation,Transregional,EMDE,0.00002
China,Mitigation,Transregional,EMDE,0.00434
LDC,Mitigation,Transregional,Advanced,0
Advanced,Mitigation,Transregional,Transregional,0.00378
China,Adaptation,Transregional,EMDE,0.00028
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00416
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00194
China,Mitigation,Sub-Saharan Africa,EMDE,0.00005
China,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,East Asia & Pacific,EMDE,0
EMDE,Mitigation,Central Asia & Eastern Europe,Advanced,0.0021
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.04305
Advanced,Mitigation,Middle East & North Africa,Advanced,0.055
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.21047
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.01443
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.45375
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.02107
Advanced,Mitigation,Middle East & North Africa,EMDE,0.19033
China,Mitigation,East Asia & Pacific,LDC,0
EMDE,Dual benefit,Sub-Saharan Africa,LDC,0.00018
EMDE,Dual benefit,Sub-Saharan Africa,LDC,0.00201
China,Mitigation,East Asia & Pacific,China,41.00195
China,Dual benefit,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00044
Advanced,Mitigation,East Asia & Pacific,LDC,0.00001
Advanced,Dual benefit,East Asia & Pacific,LDC,0.00137
Advanced,Mitigation,East Asia & Pacific,LDC,0
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00126
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.00313
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00001
EMDE,Mitigation,East Asia & Pacific,China,0.02905
China,Mitigation,Latin America & Caribbean,EMDE,0.00031
EMDE,Mitigation,South Asia,EMDE,0.12104
Advanced,Adaptation,South Asia,EMDE,0.02003
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.00001
Advanced,Adaptation,East Asia & Pacific,China,0.00008
LDC,Adaptation,East Asia & Pacific,LDC,0
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00351
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0
LDC,Adaptation,South Asia,EMDE,0
LDC,Mitigation,Sub-Saharan Africa,EMDE,0
Advanced,Dual benefit,East Asia & Pacific,China,0
China,Adaptation,Sub-Saharan Africa,EMDE,0.00001
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.00013
Advanced,Mitigation,Transregional,EMDE,0.00001
Advanced,Adaptation,Transregional,EMDE,0.0003
Advanced,Adaptation,Transregional,LDC,0.05379
EMDE,Adaptation,Transregional,EMDE,0.00007
Advanced,Adaptation,Transregional,EMDE,0.05938
EMDE,Adaptation,Transregional,Advanced,0.00017
Advanced,Mitigation,Transregional,LDC,0
LDC,Dual benefit,East Asia & Pacific,EMDE,0.00072
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.0768
LDC,Mitigation,South Asia,LDC,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00187
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00062
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00124
LDC,Mitigation,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,South Asia,EMDE,0.00147
Unknown,Mitigation,Central Asia & Eastern Europe,EMDE,0.00444
Unknown,Mitigation,Middle East & North Africa,EMDE,0.00766
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00288
EMDE,Mitigation,South Asia,LDC,0.00664
Unknown,Mitigation,East Asia & Pacific,EMDE,0.00071
Advanced,Mitigation,US & Canada,Advanced,0.00915
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.09157
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00813
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00014
Advanced,Mitigation,South Asia,LDC,0.00433
China,Dual benefit,South Asia,EMDE,0.04092
China,Mitigation,Sub-Saharan Africa,LDC,0
Advanced,Mitigation,Middle East & North Africa,LDC,0
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00232
LDC,Mitigation,East Asia & Pacific,EMDE,0.00001
Advanced,Mitigation,South Asia,EMDE,0.00805
Unknown,Dual benefit,Western Europe,Advanced,0.00576
Advanced,Mitigation,South Asia,EMDE,0.21626
Advanced,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,Middle East & North Africa,EMDE,0.00013
Advanced,Dual benefit,Sub-Saharan Africa,Advanced,0
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.09814
Advanced,Mitigation,South Asia,EMDE,0.04598
China,Mitigation,Sub-Saharan Africa,EMDE,0.00045
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00612
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.02163
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.62572
LDC,Dual benefit,South Asia,EMDE,0.00007
China,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00007
Advanced,Adaptation,South Asia,LDC,0.01524
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.04057
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.0206
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.00029
Advanced,Adaptation,East Asia & Pacific,LDC,0.00218
China,Adaptation,Latin America & Caribbean,EMDE,0.00002
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.00001
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00466
China,Adaptation,South Asia,EMDE,0.00025
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0.00162
Transregional,Adaptation,South Asia,EMDE,0.00038
LDC,Mitigation,Sub-Saharan Africa,EMDE,0
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.015
Transregional,Adaptation,South Asia,LDC,0
Advanced,Dual benefit,Latin America & Caribbean,LDC,0.00006
Advanced,Dual benefit,Western Europe,Advanced,0.00371
Transregional,Adaptation,Other Oceania,Advanced,0
Advanced,Mitigation,Transregional,LDC,0
Advanced,Dual benefit,Transregional,LDC,0.00729
LDC,Mitigation,Transregional,LDC,0
Advanced,Mitigation,Transregional,Advanced,0
Advanced,Dual benefit,Transregional,EMDE,0.01687
Advanced,Adaptation,Transregional,Advanced,0
Advanced,Adaptation,Transregional,Advanced,0
Advanced,Mitigation,Latin America & Caribbean,Advanced,0.00001
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00036
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00037
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00984
LDC,Mitigation,South Asia,EMDE,0.00113
Transregional,Mitigation,Sub-Saharan Africa,EMDE,0.0001
China,Mitigation,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.0002
Advanced,Mitigation,US & Canada,Advanced,0.68269
Advanced,Mitigation,East Asia & Pacific,Advanced,0.35439
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.11438
