Country,Rank 2024,Rank 1995–2024,ISO,Income Group
Albania,141.0,68.0,ALB,UM
Algeria,92.0,110.0,DZA,UM
Angola,71.0,90.0,AGO,LM
Antigua and Barbuda,138.0,72.0,ATG,H
Argentina,40.0,99.0,ARG,UM
Armenia,57.0,128.0,ARM,UM
Australia,55.0,69.0,AUS,H
Austria,93.0,100.0,AUT,H
Azerbaijan,129.0,119.0,AZE,UM
Bangladesh,13.0,13.0,BGD,LM
Barbados,86.0,157.0,BRB,H
Belarus,159.0,141.0,BLR,UM
Belgium,142.0,55.0,BEL,H
Belize,95.0,38.0,BLZ,UM
Benin,90.0,124.0,BEN,LM
Bhutan,110.0,137.0,BTN,LM
Bolivia,41.0,44.0,BOL,LM
Bosnia and Herzegovina,32.0,101.0,BIH,UM
Botswana,77.0,130.0,BWA,UM
Brazil,12.0,40.0,BRA,UM
Bulgaria,170.0,56.0,BGR,H
Burkina Faso,99.0,98.0,BFA,L
Burundi,63.0,103.0,BDI,L
Cambodia,167.0,43.0,KHM,LM
Cameroon,61.0,121.0,CMR,LM
Canada,49.0,106.0,CAN,H
Cape Verde,166.0,139.0,CPV,UM
Central African Republic,35.0,115.0,CAF,L
Chad,3.0,62.0,TCD,L
Chile,16.0,87.0,CHL,H
China,30.0,11.0,CHN,UM
Chinese Taipei,48.0,70.0,TWN,H
Colombia,26.0,54.0,COL,UM
Comoros,76.0,132.0,COM,LM
Costa Rica,31.0,78.0,CRI,H
Croatia,123.0,67.0,HRV,H
Cyprus,101.0,143.0,CYP,H
Czech Republic,22.0,57.0,CZE,H
Côte d’Ivoire,98.0,169.0,CIV,LM
Democratic Republic of Congo,43.0,75.0,COD,L
Democratic Republic of Timor-Leste,171.0,127.0,TLS,LM
Denmark,135.0,150.0,DNK,H
Djibouti,133.0,148.0,DJI,LM
Dominica,152.0,1.0,DMA,UM
Dominican Republic,83.0,37.0,DOM,UM
Ecuador,33.0,92.0,ECU,UM
Egypt,132.0,154.0,EGY,LM
El Salvador,72.0,36.0,SLV,UM
Estonia,122.0,131.0,EST,H
Eswatini,140.0,134.0,SWZ,LM
Ethiopia,62.0,47.0,ETH,
Fiji,163.0,30.0,FJI,UM
Finland,125.0,172.0,FIN,H
France,97.0,12.0,FRA,H
Gabon,85.0,167.0,GAB,UM
Georgia,124.0,109.0,GEO,UM
Germany,50.0,29.0,DEU,H
Ghana,113.0,113.0,GHA,LM
Greece,65.0,28.0,GRC,H
