entity_ghg,code,annual_emissions_ghg_total_co2eq,wb_region,Income Group
Afghanistan,AFG,39886020.0,"Middle East, North Africa, Afghanistan and Pakistan (WB)",L
Albania,ALB,6708038.5,Europe and Central Asia (WB),UM
Algeria,DZA,276134000.0,"Middle East, North Africa, Afghanistan and Pakistan (WB)",UM
Andorra,AND,531267.5,Europe and Central Asia (WB),H
Angola,AGO,159461570.0,Sub-Saharan Africa (WB),LM
Antigua and Barbuda,ATG,724483.44,Latin America and Caribbean (WB),H
Argentina,ARG,416981760.0,Latin America and Caribbean (WB),UM
Armenia,ARM,10310707.0,Europe and Central Asia (WB),UM
Aruba,ABW,952524.5,Latin America and Caribbean (WB),H
Australia,AUS,609924200.0,East Asia and Pacific (WB),H
Austria,AUT,68247560.0,Europe and Central Asia (WB),H
Azerbaijan,AZE,57341770.0,Europe and Central Asia (WB),UM
Bahamas,BHS,3458194.0,Latin America and Caribbean (WB),H
Bahrain,BHR,62974216.0,"Middle East, North Africa, Afghanistan and Pakistan (WB)",H
Bangladesh,BGD,241064020.0,South Asia (WB),LM
Barbados,BRB,1542544.9,Latin America and Caribbean (WB),H
Belarus,BLR,94578344.0,Europe and Central Asia (WB),UM
Belgium,BEL,107948020.0,Europe and Central Asia (WB),H
Belize,BLZ,7948022.5,Latin America and Caribbean (WB),UM
Benin,BEN,40934784.0,Sub-Saharan Africa (WB),LM
Bhutan,BTN,7387224.0,South Asia (WB),LM
Bolivia,BOL,160017150.0,Latin America and Caribbean (WB),LM
Bosnia and Herzegovina,BIH,26472440.0,Europe and Central Asia (WB),UM
Botswana,BWA,26200630.0,Sub-Saharan Africa (WB),UM
Brazil,BRA,2804430600.0,Latin America and Caribbean (WB),UM
British Virgin Islands,VGB,208715.61,Latin America and Caribbean (WB),H
Brunei,BRN,14961874.0,East Asia and Pacific (WB),H
Bulgaria,BGR,40274748.0,Europe and Central Asia (WB),H
Burkina Faso,BFA,59459120.0,Sub-Saharan Africa (WB),L
Burundi,BDI,9701743.0,Sub-Saharan Africa (WB),L
Cambodia,KHM,91824330.0,East Asia and Pacific (WB),LM
Cameroon,CMR,64826796.0,Sub-Saharan Africa (WB),LM
Canada,CAN,802732160.0,North America (WB),H
Cape Verde,CPV,843988.3,Sub-Saharan Africa (WB),UM
Central African Republic,CAF,68664184.0,Sub-Saharan Africa (WB),L
Chad,TCD,125907390.0,Sub-Saharan Africa (WB),L
Chile,CHL,104400180.0,Latin America and Caribbean (WB),H
China,CHN,14107007000.0,East Asia and Pacific (WB),UM
Colombia,COL,248280380.0,Latin America and Caribbean (WB),UM
Comoros,COM,1033070.1,Sub-Saharan Africa (WB),LM
Congo,COG,41878588.0,Sub-Saharan Africa (WB),LM
Cook Islands,COK,88294.914,East Asia and Pacific (WB),
Costa Rica,CRI,14982010.0,Latin America and Caribbean (WB),H
Cote d'Ivoire,CIV,140714670.0,Sub-Saharan Africa (WB),LM
Croatia,HRV,22455922.0,Europe and Central Asia (WB),H
Cuba,CUB,39440652.0,Latin America and Caribbean (WB),UM
Cyprus,CYP,9493263.0,Europe and Central Asia (WB),H
Czechia,CZE,84447650.0,Europe and Central Asia (WB),H
Democratic Republic of Congo,COD,680714430.0,Sub-Saharan Africa (WB),L
Denmark,DNK,45938950.0,Europe and Central Asia (WB),H
Djibouti,DJI,2113759.8,"Middle East, North Africa, Afghanistan and Pakistan (WB)",LM
Dominica,DMA,204966.56,Latin America and Caribbean (WB),UM
Dominican Republic,DOM,48537896.0,Latin America and Caribbean (WB),UM
East Timor,TLS,4875373.5,East Asia and Pacific (WB),LM
Ecuador,ECU,63137070.0,Latin America and Caribbean (WB),UM
Egypt,EGY,332462270.0,"Middle East, North Africa, Afghanistan and Pakistan (WB)",LM
El Salvador,SLV,9873690.0,Latin America and Caribbean (WB),UM
Equatorial Guinea,GNQ,11686565.0,Sub-Saharan Africa (WB),UM
Eritrea,ERI,10419070.0,Sub-Saharan Africa (WB),L
Estonia,EST,12116326.0,Europe and Central Asia (WB),H
Eswatini,SWZ,1622289.0,Sub-Saharan Africa (WB),LM
Ethiopia,ETH,247135660.0,Sub-Saharan Africa (WB),
Fiji,FJI,1307425.9,East Asia and Pacific (WB),UM
Finland,FIN,87954520.0,Europe and Central Asia (WB),H
France,FRA,337876480.0,Europe and Central Asia (WB),H
Gabon,GAB,27383958.0,Sub-Saharan Africa (WB),UM
Gambia,GMB,2937142.8,Sub-Saharan Africa (WB),L
Georgia,GEO,12429266.0,Europe and Central Asia (WB),UM
Germany,DEU,659655200.0,Europe and Central Asia (WB),H
Ghana,GHA,52005468.0,Sub-Saharan Africa (WB),LM
Greece,GRC,56786804.0,Europe and Central Asia (WB),H
Grenada,GRD,403725.75,Latin America and Caribbean (WB),UM
Guatemala,GTM,65672204.0,Latin America and Caribbean (WB),UM
Guinea,GIN,78531350.0,Sub-Saharan Africa (WB),LM
Guinea-Bissau,GNB,8138073.5,Sub-Saharan Africa (WB),L
Guyana,GUY,13387744.0,Latin America and Caribbean (WB),H
Haiti,HTI,11871904.0,Latin America and Caribbean (WB),LM
Honduras,HND,34531190.0,Latin America and Caribbean (WB),LM
Hong Kong,HKG,38914010.0,East Asia and Pacific (WB),H
Hungary,HUN,47507308.0,Europe and Central Asia (WB),H
Iceland,ISL,5056765.5,Europe and Central Asia (WB),H
India,IND,4262410800.0,South Asia (WB),LM
Indonesia,IDN,1902534800.0,East Asia and Pacific (WB),UM
Iran,IRN,1012216450.0,"Middle East, North Africa, Afghanistan and Pakistan (WB)",UM
Iraq,IRQ,398127140.0,"Middle East, North Africa, Afghanistan and Pakistan (WB)",UM
Ireland,IRL,60205556.0,Europe and Central Asia (WB),H
Israel,ISR,64150904.0,"Middle East, North Africa, Afghanistan and Pakistan (WB)",H
Italy,ITA,355972320.0,Europe and Central Asia (WB),H
Jamaica,JAM,9092372.0,Latin America and Caribbean (WB),UM
Japan,JPN,1007159200.0,East Asia and Pacific (WB),H
Jordan,JOR,31035284.0,"Middle East, North Africa, Afghanistan and Pakistan (WB)",LM
