ISO,Country,2023_gain,Income Group
ABW,Aruba,,H
AFG,Afghanistan,33.1928941853536,L
AGO,Angola,38.3079378698932,LM
ALB,Albania,52.1256791107681,UM
AND,Andorra,,H
ARE,United Arab Emirates,60.2123677346681,H
ARG,Argentina,49.5860129429258,UM
ARM,Armenia,57.1754268097306,UM
ASM,American Samoa,,H
ATG,Antigua and Barbuda,49.0458403757996,H
AUS,Australia,68.8685917266892,H
AUT,Austria,69.0440529897239,H
AZE,Azerbaijan,51.9736469145074,UM
BDI,Burundi,35.960261007696,L
BEL,Belgium,62.5989415153557,H
BEN,Benin,38.5229434147719,LM
BFA,Burkina Faso,37.6950370363227,L
BGD,Bangladesh,35.5462940007947,LM
BGR,Bulgaria,55.5012320521842,H
BHR,Bahrain,54.5539737710923,H
BHS,"Bahamas, The",48.7086280712163,H
BIH,Bosnia and Herzegovina,51.1960284880304,UM
BLR,Belarus,56.8178598177838,UM
BLZ,Belize,43.6341558659194,UM
BMU,Bermuda,,H
BOL,Bolivia,41.6886972245285,LM
BRA,Brazil,49.0973157823589,UM
BRB,Barbados,60.9561765470909,H
BRN,Brunei Darussalam,56.7054735287072,H
BTN,Bhutan,48.1793317991413,LM
BWA,Botswana,49.909767974129,UM
CAF,Central African Republic,27.6920740567652,L
CAN,Canada,68.1819038515583,H
CHE,Switzerland,72.0035803135863,H
CHI,Channel Islands,,H
CHL,Chile,59.9328626512199,H
CHN,China,58.7069609482147,UM
CIV,Côte d'Ivoire,41.512101899099,LM
CMR,Cameroon,38.738229360373,LM
COD,"Congo, Dem. Rep.",32.663081371401,L
COG,"Congo, Rep.",36.0993545745017,LM
COL,Colombia,48.3974739005916,UM
COM,Comoros,37.3938538074981,LM
CPV,Cabo Verde,51.4953266427675,UM
CRI,Costa Rica,53.9191894976903,H
CUB,Cuba,44.8588795325829,UM
CUW,Curaçao,,H
CYM,Cayman Islands,,H
CYP,Cyprus,57.7335532550152,H
CZE,Czechia,64.6756828027501,H
DEU,Germany,69.0061203618549,H
DJI,Djibouti,41.031117317375,LM
DMA,Dominica,53.8365702883702,UM
DNK,Denmark,70.8942615158465,H
DOM,Dominican Republic,46.4559595001091,UM
DZA,Algeria,48.9155061749796,UM
ECU,Ecuador,43.6257702403162,UM
EGY,"Egypt, Arab Rep.",46.9822891956235,LM
ERI,Eritrea,31.0939734975221,L
ESP,Spain,61.0117091832812,H
EST,Estonia,63.9324029117629,H
ETH,Ethiopia,38.5234107049333,
FIN,Finland,73.2697151191108,H
FJI,Fiji,51.1967810419109,UM
FRA,France,67.2432556076688,H
FRO,Faeroe Islands,,H
FSM,"Micronesia, Fed. Sts.",37.293342416924,LM
GAB,Gabon,42.6301851335201,UM
GBR,United Kingdom,69.6633498227979,H
GEO,Georgia,58.8032588150903,UM
GHA,Ghana,44.9930826491296,LM
GIB,Gibraltar,,H
GIN,Guinea,38.936304979348,LM
GMB,"Gambia, The",40.2681574508166,L
GNB,Guinea-Bissau,33.1915507742989,L
GNQ,Equatorial Guinea,42.3534826793701,UM
GRC,Greece,59.8761782543809,H
GRD,Grenada,57.1265959454479,UM
GRL,Greenland,,H
GTM,Guatemala,44.1887059124734,UM
GUM,Guam,,H
GUY,Guyana,45.3356633556796,H
HKG,"Hong Kong SAR, China",,H
HND,Honduras,40.7484656397968,LM
HRV,Croatia,55.648897350468,H
HTI,Haiti,35.3433700117027,LM
HUN,Hungary,57.0198235705571,H
IDN,Indonesia,48.3823456887259,UM
IMN,Isle of Man,,H
IND,India,45.4558519863007,LM
IRL,Ireland,64.2468917867885,H
IRN,"Iran, Islamic Rep.",49.5626295715914,UM
IRQ,Iraq,43.2586975249766,UM
ISL,Iceland,68.5619308981895,H
ISR,Israel,61.7243465627677,H
ITA,Italy,59.7736980909756,H
JAM,Jamaica,49.2431798635609,UM
JOR,Jordan,52.3235477520054,LM
JPN,Japan,65.8050728143673,H
